State,VehicleType,EmissionStandard,RegistrationCount
AN,Transport,NOT AVAILABLE,258.0
AN,Transport,BHARAT STAGE VI,66.0
AN,Non Transport,NOT AVAILABLE,531.0
AN,Non Transport,BHARAT STAGE VI,97.0
AP,Transport,BHARAT STAGE III,3.0
AP,Transport,NOT AVAILABLE,22311.0
AP,Transport,BHARAT STAGE VI,71.0
AP,Transport,BHARAT STAGE II,1.0
AP,Transport,NOT APPLICABLE,1.0
AP,Non Transport,BHARAT STAGE IV,3.0
AP,Non Transport,BHARAT STAGE III,4.0
AP,Non Transport,NOT AVAILABLE,259730.0
AP,Non Transport,BHARAT STAGE VI,4299.0
AP,Non Transport,BHARAT STAGE II,1.0
AP,Non Transport,NOT APPLICABLE,2.0
AR,Transport,NOT AVAILABLE,21.0
AR,Transport,NOT APPLICABLE,2.0
AR,Non Transport,NOT AVAILABLE,279.0
AR,Non Transport,BHARAT STAGE VI,280.0
AR,Non Transport,NOT APPLICABLE,2.0
AS,Transport,BHARAT STAGE I,14.0
AS,Transport,BHARAT STAGE III  CEV,18.0
AS,Transport,TREM STAGE IV,11.0
AS,Transport,BHARAT STAGE III,100.0
AS,Transport,BHARAT  TREM  STAGE III A,1.0
AS,Transport,BHARAT STAGE III/IV,60.0
AS,Transport,BHARAT  TREM  STAGE III B,4.0
AS,Transport,NOT AVAILABLE,347059.0
AS,Transport,EURO 1,1.0
AS,Transport,BHARAT STAGE II,5.0
AS,Transport,EURO 6,1.0
AS,Transport,EURO 3,4.0
AS,Transport,BHARAT STAGE IV,303.0
AS,Transport,BHARAT  TREM  STAGE III,2.0
AS,Transport,EURO 4,2.0
AS,Transport,TREM STAGE V,1.0
AS,Transport,BHARAT STAGE VI,11.0
AS,Non Transport,BHARAT STAGE I,15.0
AS,Non Transport,BHARAT STAGE III  CEV,18.0
AS,Non Transport,TREM STAGE IV,11.0
AS,Non Transport,BHARAT STAGE III,102.0
AS,Non Transport,BHARAT  TREM  STAGE III A,1.0
AS,Non Transport,BHARAT STAGE III/IV,60.0
AS,Non Transport,BHARAT  TREM  STAGE III B,4.0
AS,Non Transport,NOT AVAILABLE,365337.0
AS,Non Transport,EURO 1,1.0
AS,Non Transport,BHARAT STAGE II,5.0
AS,Non Transport,EURO 6,1.0
AS,Non Transport,EURO 3,4.0
AS,Non Transport,BHARAT STAGE IV,303.0
AS,Non Transport,BHARAT  TREM  STAGE III,2.0
AS,Non Transport,EURO 4,2.0
AS,Non Transport,TREM STAGE V,1.0
AS,Non Transport,BHARAT STAGE VI,1148.0
BR,Transport,BHARAT STAGE IV,151.0
BR,Transport,TREM STAGE IV,4.0
BR,Transport,BHARAT STAGE III,5.0
BR,Transport,BHARAT STAGE III/IV,8.0
BR,Transport,NOT AVAILABLE,425349.0
BR,Transport,EURO 1,1.0
BR,Transport,BHARAT STAGE VI,26.0
BR,Transport,BHARAT STAGE II,1.0
BR,Non Transport,BHARAT STAGE IV,153.0
BR,Non Transport,TREM STAGE IV,4.0
BR,Non Transport,BHARAT STAGE III,5.0
BR,Non Transport,BHARAT STAGE III/IV,8.0
BR,Non Transport,NOT AVAILABLE,530949.0
BR,Non Transport,EURO 1,1.0
BR,Non Transport,BHARAT STAGE VI,1432.0
BR,Non Transport,BHARAT STAGE II,1.0
CH,Transport,NOT AVAILABLE,12326.0
CH,Transport,BHARAT STAGE VI,4.0
CH,Non Transport,BHARAT STAGE IV,5.0
CH,Non Transport,NOT AVAILABLE,26277.0
