State,VehicleType,Year,Registrations
AN,Non Transport,2016,1.0
AN,Non Transport,2017,0.0
AN,Non Transport,2018,20.0
AN,Non Transport,2019,2.0
AN,Non Transport,2020,36.0
AN,Non Transport,2021,92.0
AN,Non Transport,2022,23.0
AN,Non Transport,2023,26.0
AN,Non Transport,2024,79.0
AN,Non Transport,2025,201.0
AN,Non Transport,2026,148.0
AN,Transport,2020,1.0
AN,Transport,2021,71.0
AN,Transport,2022,18.0
AN,Transport,2023,9.0
AN,Transport,2024,33.0
AN,Transport,2025,108.0
AN,Transport,2026,84.0
AP,Non Transport,2011,78.0
AP,Non Transport,2012,18.0
AP,Non Transport,2013,20.0
AP,Non Transport,2014,12.0
AP,Non Transport,2015,9.0
AP,Non Transport,2016,20.0
AP,Non Transport,2017,1.0
AP,Non Transport,2018,1180.0
AP,Non Transport,2019,2143.0
AP,Non Transport,2020,1649.0
AP,Non Transport,2021,9675.0
AP,Non Transport,2022,29338.0
AP,Non Transport,2023,32857.0
AP,Non Transport,2024,57467.0
AP,Non Transport,2025,61829.0
AP,Non Transport,2026,67151.0
AP,Transport,2011,6.0
AP,Transport,2012,0.0
AP,Transport,2013,0.0
AP,Transport,2014,0.0
AP,Transport,2015,0.0
AP,Transport,2016,1.0
AP,Transport,2017,1.0
AP,Transport,2018,53.0
AP,Transport,2019,495.0
AP,Transport,2020,653.0
AP,Transport,2021,1975.0
AP,Transport,2022,997.0
AP,Transport,2023,2694.0
AP,Transport,2024,3709.0
AP,Transport,2025,5619.0
AP,Transport,2026,6140.0
AR,Non Transport,2012,1.0
AR,Non Transport,2013,0.0
AR,Non Transport,2014,0.0
AR,Non Transport,2015,0.0
AR,Non Transport,2016,1.0
AR,Non Transport,2017,0.0
AR,Non Transport,2018,1.0
AR,Non Transport,2019,1.0
AR,Non Transport,2020,4.0
AR,Non Transport,2021,2.0
AR,Non Transport,2022,2.0
AR,Non Transport,2023,18.0
AR,Non Transport,2024,96.0
AR,Non Transport,2025,228.0
AR,Non Transport,2026,204.0
AR,Transport,2024,3.0
AR,Transport,2025,12.0
AR,Transport,2026,8.0
AS,Non Transport,2011,2.0
AS,Non Transport,2012,4.0
AS,Non Transport,2013,3.0
AS,Non Transport,2014,4.0
AS,Non Transport,2015,23.0
AS,Non Transport,2016,19.0
AS,Non Transport,2017,3821.0
AS,Non Transport,2018,7374.0
AS,Non Transport,2019,10838.0
AS,Non Transport,2020,8355.0
AS,Non Transport,2021,15617.0
AS,Non Transport,2022,40666.0
AS,Non Transport,2023,60777.0
AS,Non Transport,2024,68417.0
AS,Non Transport,2025,85622.0
AS,Non Transport,2026,65204.0
AS,Transport,2012,2.0
AS,Transport,2013,1.0
AS,Transport,2014,2.0
AS,Transport,2015,19.0
AS,Transport,2016,13.0
AS,Transport,2017,3686.0
AS,Transport,2018,7305.0
AS,Transport,2019,10740.0
AS,Transport,2020,8308.0
AS,Transport,2021,15234.0
AS,Transport,2022,38690.0
AS,Transport,2023,58104.0
AS,Transport,2024,63350.0
AS,Transport,2025,81025.0
AS,Transport,2026,60867.0
BR,Non Transport,2011,156.0
BR,Non Transport,2012,20.0
BR,Non Transport,2013,14.0
BR,Non Transport,2014,11.0
BR,Non Transport,2015,69.0
BR,Non Transport,2016,1100.0
BR,Non Transport,2017,3594.0
BR,Non Transport,2018,8464.0
BR,Non Transport,2019,12379.0
BR,Non Transport,2020,12446.0
BR,Non Transport,2021,23082.0
BR,Non Transport,2022,55750.0
BR,Non Transport,2023,88204.0
BR,Non Transport,2024,113138.0
BR,Non Transport,2025,124449.0
BR,Non Transport,2026,89085.0
