State,VehicleType,FuelType,Count
AN,Transport,ELECTRIC(BOV),142.0
AN,Transport,PURE EV,116.0
AN,Transport,STRONG HYBRID EV,66.0
AN,Non Transport,ELECTRIC(BOV),275.0
AN,Non Transport,PURE EV,256.0
AN,Non Transport,STRONG HYBRID EV,97.0
AP,Transport,ELECTRIC(BOV),13929.0
AP,Transport,PURE EV,8361.0
AP,Transport,STRONG HYBRID EV,71.0
AP,Non Transport,ELECTRIC(BOV),135412.0
AP,Non Transport,PLUG-IN HYBRID EV,3.0
AP,Non Transport,PURE EV,123997.0
AP,Non Transport,STRONG HYBRID EV,4287.0
AR,Transport,ELECTRIC(BOV),6.0
AR,Transport,PURE EV,17.0
AR,Non Transport,ELECTRIC(BOV),125.0
AR,Non Transport,PURE EV,156.0
AR,Non Transport,STRONG HYBRID EV,278.0
AS,Transport,ELECTRIC(BOV),274889.0
AS,Transport,PURE EV,72458.0
AS,Transport,STRONG HYBRID EV,1.0
AS,Non Transport,ELECTRIC(BOV),284390.0
AS,Non Transport,PURE EV,81225.0
AS,Non Transport,STRONG HYBRID EV,1136.0
BR,Transport,ELECTRIC(BOV),347341.0
BR,Transport,PURE EV,77828.0
BR,Transport,STRONG HYBRID EV,22.0
BR,Non Transport,ELECTRIC(BOV),395059.0
BR,Non Transport,PLUG-IN HYBRID EV,1.0
BR,Non Transport,PURE EV,135554.0
BR,Non Transport,STRONG HYBRID EV,1424.0
CH,Transport,ELECTRIC(BOV),11181.0
CH,Transport,PURE EV,1137.0
CH,Transport,STRONG HYBRID EV,4.0
CH,Non Transport,ELECTRIC(BOV),18599.0
CH,Non Transport,PLUG-IN HYBRID EV,5.0
CH,Non Transport,PURE EV,7664.0
CH,Non Transport,STRONG HYBRID EV,3525.0
CG,Transport,ELECTRIC(BOV),47481.0
CG,Transport,PURE EV,13152.0
CG,Transport,STRONG HYBRID EV,24.0
CG,Non Transport,ELECTRIC(BOV),120608.0
CG,Non Transport,PURE EV,86366.0
CG,Non Transport,STRONG HYBRID EV,2811.0
DN,Transport,ELECTRIC(BOV),3038934.0
DN,Transport,PURE EV,690157.0
DN,Transport,STRONG HYBRID EV,4939.0
DN,Non Transport,ELECTRIC(BOV),6226593.0
DN,Non Transport,PLUG-IN HYBRID EV,131.0
DN,Non Transport,PURE EV,3638823.0
DN,Non Transport,STRONG HYBRID EV,236915.0
DD,Transport,ELECTRIC(BOV),156.0
DD,Transport,PURE EV,20.0
DD,Transport,STRONG HYBRID EV,24.0
DD,Non Transport,ELECTRIC(BOV),758.0
DD,Non Transport,PLUG-IN HYBRID EV,2.0
DD,Non Transport,PURE EV,485.0
DD,Non Transport,STRONG HYBRID EV,712.0
DL,Transport,ELECTRIC(BOV),244543.0
DL,Transport,PURE EV,43513.0
DL,Non Transport,ELECTRIC(BOV),377706.0
DL,Non Transport,PLUG-IN HYBRID EV,5.0
DL,Non Transport,PURE EV,139445.0
DL,Non Transport,STRONG HYBRID EV,18894.0
GA,Transport,ELECTRIC(BOV),546.0
GA,Transport,PURE EV,72.0
GA,Transport,STRONG HYBRID EV,131.0
GA,Non Transport,ELECTRIC(BOV),29632.0
GA,Non Transport,PURE EV,15199.0
GA,Non Transport,STRONG HYBRID EV,1042.0
GJ,Transport,ELECTRIC(BOV),15515.0
GJ,Transport,PURE EV,5619.0
GJ,Transport,STRONG HYBRID EV,75.0
GJ,Non Transport,ELECTRIC(BOV),233221.0
GJ,Non Transport,PLUG-IN HYBRID EV,6.0
GJ,Non Transport,PURE EV,161584.0
GJ,Non Transport,STRONG HYBRID EV,18068.0
HR,Transport,ELECTRIC(BOV),89372.0
HR,Transport,PURE EV,16728.0
HR,Transport,STRONG HYBRID EV,1442.0
HR,Non Transport,ELECTRIC(BOV),132417.0
HR,Non Transport,PLUG-IN HYBRID EV,19.0
HR,Non Transport,PURE EV,51962.0
HR,Non Transport,STRONG HYBRID EV,20360.0
HP,Transport,ELECTRIC(BOV),839.0
HP,Transport,PURE EV,280.0
HP,Transport,STRONG HYBRID EV,30.0
HP,Non Transport,ELECTRIC(BOV),4852.0
HP,Non Transport,PLUG-IN HYBRID EV,4.0
HP,Non Transport,PURE EV,3143.0
HP,Non Transport,STRONG HYBRID EV,1526.0
JK,Transport,ELECTRIC(BOV),27586.0
JK,Transport,PURE EV,8359.0
JK,Transport,STRONG HYBRID EV,4.0
JK,Non Transport,ELECTRIC(BOV),35905.0
JK,Non Transport,PURE EV,14889.0
JK,Non Transport,STRONG HYBRID EV,649.0
JH,Transport,ELECTRIC(BOV),64413.0
JH,Transport,PURE EV,16709.0
JH,Transport,STRONG HYBRID EV,3.0
JH,Non Transport,ELECTRIC(BOV),90680.0
JH,Non Transport,PURE EV,41516.0
JH,Non Transport,STRONG HYBRID EV,1360.0
KA,Transport,ELECTRIC(BOV),49796.0
KA,Transport,PURE EV,34927.0
KA,Transport,STRONG HYBRID EV,825.0
KA,Non Transport,ELECTRIC(BOV),506952.0
KA,Non Transport,PLUG-IN HYBRID EV,4.0
KA,Non Transport,PURE EV,357457.0
KA,Non Transport,STRONG HYBRID EV,25128.0
KL,Transport,ELECTRIC(BOV),15929.0
KL,Transport,PURE EV,12118.0
KL,Transport,STRONG HYBRID EV,221.0
KL,Non Transport,ELECTRIC(BOV),217253.0
KL,Non Transport,PLUG-IN HYBRID EV,3.0
KL,Non Transport,PURE EV,186666.0
KL,Non Transport,STRONG HYBRID EV,17739.0
LA,Transport,ELECTRIC(BOV),21.0
LA,Transport,PURE EV,1.0
LA,Non Transport,ELECTRIC(BOV),94.0
LA,Non Transport,PURE EV,6.0
LA,Non Transport,STRONG HYBRID EV,12.0
LD,Transport,ELECTRIC(BOV),8.0
LD,Transport,PURE EV,5.0
LD,Non Transport,ELECTRIC(BOV),110.0
LD,Non Transport,PURE EV,78.0
MP,Transport,ELECTRIC(BOV),116321.0
MP,Transport,PURE EV,32601.0
MP,Transport,STRONG HYBRID EV,76.0
MP,Non Transport,ELECTRIC(BOV),232337.0
MP,Non Transport,PURE EV,249615.0
MP,Non Transport,STRONG HYBRID EV,3891.0
MH,Transport,ELECTRIC(BOV),58740.0
MH,Transport,PURE EV,22314.0
MH,Transport,STRONG HYBRID EV,1119.0
MH,Non Transport,ELECTRIC(BOV),585730.0
MH,Non Transport,PLUG-IN HYBRID EV,32.0
MH,Non Transport,PURE EV,525053.0
