State,Vehicle_Maker,EV_Registrations
AN,Bajaj Auto Ltd,52
AN,Toyota Kirloskar Motor Pvt Ltd,50
AN,Jbm Auto Limited,40
AN,Tata Passenger Electric Mobility Ltd,31
AN,Mac Auto India,29
AP,Others,5575
AP,Mahindra Last Mile Mobility Ltd,4879
AP,Bajaj Auto Ltd,4688
AP,Ti Clean Mobility Pvt Ltd,1395
AP,Piaggio Vehicles Pvt Ltd,1391
AR,Pinnacle Mobility Solutions Pvt Ltd,10
AR,Mahindra Last Mile Mobility Ltd,3
AR,Tata Motors Ltd,3
AR,M/S General Motors Llc,2
AR,Piaggio Vehicles Pvt Ltd,2
AS,Mahindra Last Mile Mobility Ltd,32372
AS,Bajaj Auto Ltd,29046
AS,Yc Electric Vehicle,24188
AS,Vani Electric Vehicles Pvt Ltd,19702
AS,G.k. Rickshaw Ltd,17065
BR,Saera Electric Auto Pvt Ltd,45521
BR,Mahindra Last Mile Mobility Ltd,38758
BR,Yc Electric Vehicle,21879
BR,Bajaj Auto Ltd,21091
BR,Terra Motors India Pvt Ltd,17160
CG,Mahindra Last Mile Mobility Ltd,9068
CG,Yc Electric Vehicle,4155
CG,G.k E-Vehicls Industries Pvt Ltd,3239
CG,Saera Electric Auto Pvt Ltd,2993
CG,Bajaj Auto Ltd,2752
CH,Sks Trade India Pvt Ltd,1387
CH,Saera Electric Auto Pvt Ltd,1019
CH,Allfine Industries Pvt Ltd,622
CH,Altier Electric Vehicles Pvt Ltd,576
CH,Paras Industries,479
DD,Mahindra Last Mile Mobility Ltd,45
DD,Mahindra Electric Mobility Limited,31
DD,Olectra Greentech Ltd,25
DD,Original Fuel System Pvt Ltd,16
DD,Atul Auto Ltd,14
DL,Yc Electric Vehicle,51736
DL,Sahnianand E Vehicles Pvt Ltd,13845
DL,Omega Seiki Pvt Ltd,13148
DL,Champion Poly Plast,12675
DL,Dilli Electric Auto Pvt Ltd,12467
DN,Mahindra Last Mile Mobility Ltd,254140
DN,Yc Electric Vehicle,230172
DN,Bajaj Auto Ltd,204950
DN,Saera Electric Auto Pvt Ltd,135472
DN,Dilli Electric Auto Pvt Ltd,117210
GA,Olectra Greentech Ltd,127
GA,Toyota Kirloskar Motor Pvt Ltd,90
GA,Mahindra Last Mile Mobility Ltd,67
GA,Tata Motors Ltd,60
GA,Pmi Electro Mobility Solutions Private Limited,48
GJ,Atul Auto Ltd,6366
GJ,Mahindra Last Mile Mobility Ltd,2573
GJ,Bajaj Auto Ltd,1314
GJ,Dilli Electric Auto Pvt Ltd,850
GJ,Mahindra Electric Mobility Limited,830
HR,Dilli Electric Auto Pvt Ltd,13292
HR,Sks Trade India Pvt Ltd,5490
HR,Yc Electric Vehicle,4840
HR,Saera Electric Auto Pvt Ltd,3569
HR,Thukral Electric Bikes Pvt Ltd,3535
HP,Mahindra Last Mile Mobility Ltd,192
HP,Yc Electric Vehicle,150
HP,Olectra Greentech Ltd,139
HP,Tata Passenger Electric Mobility Ltd,101
HP,Piaggio Vehicles Pvt Ltd,85
JK,Mahindra Last Mile Mobility Ltd,11399
JK,Bajaj Auto Ltd,5056
JK,Piaggio Vehicles Pvt Ltd,4097
JK,Tvs Motor Company Ltd,1438
JK,Om Balajee Automobile ( India) Pvt. Ltd,1216
JH,Mahindra Last Mile Mobility Ltd,9180
JH,Bajaj Auto Ltd,5337
JH,Hooghly Motors Pvt Ltd,5043
JH,Yc Electric Vehicle,4692
JH,Saera Electric Auto Pvt Ltd,4147
KA,Bajaj Auto Ltd,9129
KA,Bounce Electric  Pvt Ltd,8401
KA,Piaggio Vehicles Pvt Ltd,5492
KA,Mahindra Last Mile Mobility Ltd,4393
KA,Tata Passenger Electric Mobility Ltd,4023
KL,Bajaj Auto Ltd,6706
KL,Mahindra Last Mile Mobility Ltd,4540
KL,Ti Clean Mobility Pvt Ltd,3420
KL,Piaggio Vehicles Pvt Ltd,2960
KL,Mahindra Electric Mobility Limited,2892
LA,Pmi Electro Mobility Solutions Private Limited,19
LA,Mahindra Last Mile Mobility Ltd,1
LA,Om Balajee Automobile ( India) Pvt. Ltd,1
LA,Tata Motors Ltd,1
LD,Mahindra Last Mile Mobility Ltd,4
LD,Tvs Motor Company Ltd,4
LD,Mahindra Electric Mobility Limited,2
LD,Hero Motocorp Ltd,1
LD,Mahindra  Mahindra Limited,1
MP,Yc Electric Vehicle,16034
MP,Mahindra Last Mile Mobility Ltd,11358
MP,Dilli Electric Auto Pvt Ltd,11341
MP,Bajaj Auto Ltd,8393
MP,Saera Electric Auto Pvt Ltd,6891
