date,region,ev_sales,charging_stations,battery_cost,electricity_price,fuel_price,gdp_index,population,carbon_emission,gov_policy_index,grid_capacity,battery_degradation_index
2018-01-01,Maharashtra,699.32,50.0,177.47,6.539,84.89,99.72,9999589.0,220.43,39.27,493.71,0.02191
2018-02-01,Maharashtra,785.95,50.0,182.01,6.446,86.66,99.58,10009895.0,220.33,41.32,517.19,0.01945
2018-03-01,Maharashtra,757.22,50.0,180.06,6.711,88.31,100.47,10018263.0,217.41,42.24,517.14,0.02096
2018-04-01,Maharashtra,710.8,50.0,175.9,7.024,91.46,100.75,10025393.0,218.69,43.27,521.34,0.01932
2018-05-01,Maharashtra,724.39,51.84,173.68,6.983,91.57,102.48,10032500.0,222.41,41.01,526.18,0.02267
2018-06-01,Maharashtra,829.06,50.0,173.08,6.884,92.11,101.05,10037000.0,217.97,41.04,529.89,0.018
2018-07-01,Maharashtra,796.92,52.69,173.07,6.61,91.5,101.96,10048541.0,220.69,42.16,531.85,0.02109
2018-08-01,Maharashtra,797.29,62.76,172.01,6.582,91.68,102.83,10059717.0,215.96,41.92,541.69,0.02105
2018-09-01,Maharashtra,640.15,60.3,172.18,6.179,86.72,102.55,10064363.0,216.56,44.53,530.67,0.02199
2018-10-01,Maharashtra,672.11,69.21,170.27,6.208,85.18,103.72,10073776.0,220.05,42.95,554.21,0.01879
2018-11-01,Maharashtra,679.52,62.07,172.38,6.286,83.28,102.36,10082345.0,218.62,44.32,544.96,0.02054
2018-12-01,Maharashtra,826.39,66.44,164.45,6.451,82.45,103.3,10090481.0,216.27,45.84,531.4,0.02211
2019-01-01,Maharashtra,905.08,69.13,167.68,6.627,79.85,104.85,10095063.0,218.13,45.43,570.7,0.02334
2019-02-01,Maharashtra,1026.19,77.15,168.56,6.629,83.34,104.08,10104785.0,218.99,45.57,571.11,0.0231
2019-03-01,Maharashtra,1021.79,61.81,169.19,6.936,78.99,105.88,10110299.0,217.35,45.24,559.06,0.02158
2019-04-01,Maharashtra,999.28,80.26,164.07,6.897,84.06,106.54,10122511.0,215.25,46.51,559.93,0.02304
2019-05-01,Maharashtra,1067.06,78.76,160.14,7.097,83.74,104.72,10128509.0,214.84,46.01,575.44,0.02298
2019-06-01,Maharashtra,1062.35,88.94,163.99,6.93,83.49,106.25,10136236.0,215.69,45.67,595.81,0.02344
2019-07-01,Maharashtra,1083.92,90.46,161.31,6.588,87.36,105.62,10141579.0,216.65,47.06,576.56,0.02263
2019-08-01,Maharashtra,1078.66,93.46,162.42,6.621,87.25,106.76,10152701.0,216.25,47.68,588.08,0.02361
2019-09-01,Maharashtra,1004.33,91.2,156.86,6.408,89.37,107.01,10158065.0,214.14,47.41,582.44,0.02105
2019-10-01,Maharashtra,993.97,97.15,161.93,6.196,91.01,107.41,10168448.0,215.68,48.85,589.56,0.02111
2019-11-01,Maharashtra,1013.42,91.56,158.4,6.266,92.95,106.78,10176825.0,211.92,49.49,593.08,0.02326
2019-12-01,Maharashtra,1113.24,95.96,162.22,6.631,91.04,108.2,10184525.0,214.37,50.2,598.96,0.02345
2020-01-01,Maharashtra,1758.51,202.26,156.48,6.845,92.4,109.89,10192998.0,213.31,66.32,618.27,0.02438
2020-02-01,Maharashtra,1786.26,204.78,154.8,6.926,89.92,109.51,10203213.0,214.52,67.44,632.56,0.02386
2020-03-01,Maharashtra,1803.81,206.88,152.37,7.09,89.05,107.54,10206391.0,215.27,68.03,633.72,0.02439
2020-04-01,Maharashtra,1826.78,208.03,157.77,7.25,87.9,109.27,10213241.0,214.16,66.96,649.69,0.02427
2020-05-01,Maharashtra,1856.36,212.97,152.29,7.208,85.38,109.8,10221993.0,212.96,67.5,649.8,0.02496
2020-06-01,Maharashtra,1838.55,209.32,151.77,6.933,85.49,110.65,10229312.0,210.14,68.39,634.9,0.0238
2020-07-01,Maharashtra,1422.25,123.63,153.12,7.0,82.61,109.5,10239759.0,214.4,51.3,617.95,0.02459
2020-08-01,Maharashtra,1380.34,123.03,150.77,6.5,82.61,109.04,10245732.0,210.18,52.64,636.92,0.02373
2020-09-01,Maharashtra,1274.42,124.5,149.52,6.084,82.54,111.55,10255039.0,212.56,51.58,640.13,0.02395
2020-10-01,Maharashtra,1346.66,128.81,152.43,6.542,81.68,110.44,10265176.0,214.22,53.12,630.23,0.02511
2020-11-01,Maharashtra,1384.36,132.1,152.34,6.113,85.21,111.23,10272124.0,211.48,51.43,651.77,0.02592
2020-12-01,Maharashtra,1485.7,132.84,146.86,6.525,86.13,112.45,10281338.0,209.72,53.46,648.42,0.02492
2021-01-01,Maharashtra,1577.07,138.09,147.61,6.531,90.4,112.23,10288368.0,211.72,51.21,638.99,0.02808
2021-02-01,Maharashtra,1615.91,141.2,144.52,7.042,89.99,111.13,10293762.0,211.62,53.89,653.26,0.02253
2021-03-01,Maharashtra,1613.83,137.79,143.86,7.366,91.48,112.87,10305648.0,211.39,56.1,660.14,0.02574
2021-04-01,Maharashtra,1688.2,151.72,145.16,7.265,92.04,113.69,10313054.0,210.56,54.2,667.19,0.02549
